key|product_category_key|vendor_code|shape|color|size|price|company|country|desc
1||194.ОАС.812|Современный|серебро|2,0х2,5|115|Emafyl|Корея|
2||194.ОАС.806|Современный|серебро|2,0х2,5|115|Emafyl|Корея|
3||194.ОАС.123|Современный|золото|2,0х2,5|115|Emafyl|Корея|
4||194.ОАС.131|Современный|дерево Вишня|2,0х2,5|115|Emafyl|Корея|
5||194.ОАС.010|Современный|дерево Вишня состаренное|2,0х2,5|115|Emafyl|Корея|
6||564.ОАС.440|Современный|дерево Груша|2,5х1,5|115|Emafyl|Корея|
7||564.ОАС.438|Современный|дерево Дуб|2,5х1,5|115|Emafyl|Корея|
8||564.ОАС.280|Современный|дерево Азалия|2,5х1,5|115|Emafyl|Корея|
9||564.ОАС.439|Современный|дерево бук|2,5х1,5|115|Emafyl|Корея|
10||564.ОАС.278|Современный|дерево Азалия|2,5х1,5|115|Emafyl|Корея|
11||564.ОАС.277|Современный|дерево Азалия|2,5х1,5|115|Emafyl|Корея|
12||324.ОАС.323|Современный|дерево Берёза|3,0х4,2|115|Emafyl|Корея|
13||685.ОАС.182|Классика|серебро|4,3х2,1|115|Emafyl|Корея|
14||685.ОАС.217|Классика|бронза|4,3х2,1|115|Emafyl|Корея|
15||685.ОАС.127|Классика|бронза|4,3х2,1|115|Emafyl|Корея|
16||685.ОАС.126|Классика|золото|4,3х2,1|115|Emafyl|Корея|
17||359.ОАС.175|Классика|золото|4,3х2,1|115|Emafyl|Корея|
18||359.ОАС.201|Классика|золото состаренное|4.3х1,8|115|Emafyl|Корея|
19||359.ОАС.232|Классика|золото состаренное|4.3х1,8|115|Emafyl|Корея|
20||685.OAC.175|Классика|золото|4.3х2.1|115|Emafyl|Корея|
21||685.OAC.976|Классика|золото|4.3х2.1|115|Emafyl|Корея|
22||685.OAC.083|Классика|золото состаренное|4.3х2.1|115|Emafyl|Корея|
23||562.OAC.006|Классика|серебро|8,4х3.0|115|Emafyl|Корея|
24||562.OAC.003|Классика|золото|8,4х3,0|115|Emafyl|Корея|
