key|product_category_key|vendor_code|material|color|price|company|country|desc
1|1|SH-002|Латунь, цинковый сплав|Хром, Сатин, Бронза, Золото|1000|Ally Hardware|Китай|Петля 90 град без условия качения , доведение в положение 90 град +/- 25 град запас движения стекло-стена, смещение крепёжной пластины в зону душевой(чертёж прилагается) Открывание в одну сторону
2|1|SH-003|Латунь, цинковый сплав|Хром, Сатин, Бронза, Золото|1000|Ally Hardware|Китай|Петля 90 град с условием качения на 180 град (принцип распашной двери с доводчиком запас +/- 25 град установка крепёжной пластины по центру стекла 9чертёж прилагается). Открывание в обе стороны
3|1|SH-004|Латунь, цинковый сплав|Хром, Сатин, Бронза, Золото|1000|Ally Hardware|Китай|Петля 90 град  с условием монтажа стекло-стекло открывание двери 90 град  фиксация качение стекла +\- 25 град(чертёж прилагается)
4|1|SH-005|Латунь, цинковый сплав|Хром, Сатин, Бронза, Золото|1000|Ally Hardware|Китай|Петля 135 град стекло- стекло открывание в положение 135 град фиксация качение +/- 25 град(чертёж прилагается)
5|1|SH-006|Латунь, цинковый сплав|Хром, Сатин, Бронза, Золото|1000|Ally Hardware|Китай|Петля 180 град стекло- стекло открывание в положение 90 град фиксация в положение 180 град качение  с доводчиком в 0(чертёж прилагается)
6|1|SH-014|Латунь, цинковый сплав|Хром, Сатин, Бронза, Золото|1000|Ally Hardware|Китай|Петля 90 град без условия качения , доведение в положение 90 град +/- 25 град запас движения стекло-стена, смещение крепёжной пластины в зону душевой(чертёж прилагается) Открывание в одну сторону
7|1|SH-015|Латунь, цинковый сплав|Хром, Сатин, Бронза, Золото|1000|Ally Hardware|Китай|Петля 90 град с условием качения на 180 град (принцип распашной двери с доводчиком запас +/- 25 град установка крепёжной пластины по центру стекла 9чертёж прилагается). Открывание в обе стороны
8|1|SH-016|Латунь, цинковый сплав|Хром, Сатин, Бронза, Золото|1000|Ally Hardware|Китай|Петля 90 град  с условием монтажа стекло-стекло открывание двери 90 град  фиксация качение стекла +\- 25 град(чертёж прилагается)
9|1|SH-017|Латунь, цинковый сплав|Хром, Сатин, Бронза, Золото|1000|Ally Hardware|Китай|Петля 135 град стекло- стекло открывание в положение 135 град фиксация качение +/- 25 град(чертёж прилагается)
10|1|SH-018|Латунь, цинковый сплав|Хром, Сатин, Бронза, Золото|1000|Ally Hardware|Китай|Петля 180 град стекло- стекло открывание в положение 90 град фиксация в положение 180 град качение  с доводчиком в 0(чертёж прилагается)
11|1|SH-042|Латунь, цинковый сплав|Хром, Сатин|1000|Ally Hardware|Китай|Петля для стекла 90 град  для стены или стенки ЛДСП 16 мм и более
12|1|SH-043|Латунь, цинковый сплав|Хром, Сатин|1000|Ally Hardware|Китай|Петля для стекла положение двойной слайд качение 180 град и выведение стекла в 0  +/- 25 град 
13|1|SH-044|Латунь, цинковый сплав|Хром, Сатин|1000|Ally Hardware|Китай|Петля 135 град стекло- стекло открывание в положение 135 град фиксация качение +/- 25 град(чертёж прилагается)
14|1|SH-045|Латунь, цинковый сплав|Хром, Сатин|1000|Ally Hardware|Китай|Петля 180 град стекло- стекло открывание в положение 90 град фиксация в положение 180 град качение  с доводчиком в 0(чертёж прилагается)
15|1|SH-050|Цинковый сплав|Хром, Сатин|1000|Ally Hardware|Китай|Мини петля одинарный слайд
16|1|SH-051|Цинковый сплав|Хром, Сатин|1000|Ally Hardware|Китай|Мини петля двойной слайд
