key|product_category_key|vendor_code|shape|color|price|price_color|size|company|country|desc
1||Africa|Africa|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
2||Bamboo|Bamboo|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
3||Bead|Bead|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
4||Bouquet|Bouquet|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
5||Brick-2|Brick-2|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
6||Brick with mat|Brick with mat|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
7||Brick with mirror|Brick with mirror|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
8||Brick|Brick|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
9||Bubbles|Bubbles|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
10||Carpet|Carpet|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
11||Chalet|Chalet|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
12||Comb|Comb|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
13||Coral|Coral|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
14||Cross mesh|Cross mesh|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
15||Daisy|Daisy|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
16||Dolphin|Dolphin|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
17||Domino|Domino|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
18||Drop with mat mirror|Drop with mat mirror|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
19||Drop with mat|Drop with mat|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
20||Drop|Drop|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
21||Earth|Earth|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
