key|product_category_key|color|mat|size|filling|price|company|country|desc
1|1|Neutro||190x190x80||250|Vetroarredo|Италия|
2|1|Aquamarine||190x190x80||250|Vetroarredo|Италия|
3|1|Blu||190x190x80||250|Vetroarredo|Италия|
4|1|Rosa||190x190x80||250|Vetroarredo|Италия|
5|1|Verde||190x190x80||250|Vetroarredo|Италия|
6|1|Nordika||190x190x80||250|Vetroarredo|Италия|
7|1|Siena||190x190x80||250|Vetroarredo|Италия|
8|1|Giallo||190x190x80||250|Vetroarredo|Италия|
9|1|Lilla||190x190x80||250|Vetroarredo|Италия|
10|1|Neutro|матовый|190x190x80||250|Vetroarredo|Италия|
11|1|Aquamarine|матовый|190x190x80||250|Vetroarredo|Италия|
12|1|Blu|матовый|190x190x80||250|Vetroarredo|Италия|
13|1|Rosa|матовый|190x190x80||250|Vetroarredo|Италия|
14|1|Verde|матовый|190x190x80||250|Vetroarredo|Италия|
15|1|Nordika|матовый|190x190x80||250|Vetroarredo|Италия|
16|1|Siena|матовый|190x190x80||250|Vetroarredo|Италия|
17|1|Giallo|матовый|190x190x80||250|Vetroarredo|Италия|
18|1|Lilla|матовый|190x190x80||250|Vetroarredo|Италия|
19|2|NEUTRO 3D||190x190x80||250|Vetroarredo|Италия|
20|2|BLU 3D||190x190x80||250|Vetroarredo|Италия|
21|2|SIENA 3D||190x190x80||250|Vetroarredo|Италия|
22|2|NORDIKA 3D||190x190x80||250|Vetroarredo|Италия|
23|2|NEUTRO 3D|матовый|190x190x80||250|Vetroarredo|Италия|
24|2|BLU 3D|матовый|190x190x80||250|Vetroarredo|Италия|
25|2|SIENA 3D|матовый|190x190x80||250|Vetroarredo|Италия|
26|2|NORDIKA 3D|матовый|190x190x80||250|Vetroarredo|Италия|
27|3|Бесцветный||190x190x80||200|VITRABLOK|Чехия|
28|3|Бесцветный||190x190x80||200|VITRABLOK|Чехия|
29|3|Бесцветный||190x190x80||200|VITRABLOK|Чехия|
30|3|Бесцветный||190x190x80||200|VITRABLOK|Чехия|
31|3|Бесцветный||190x190x80||200|VITRABLOK|Чехия|
32|3|Бесцветный||190x190x80||200|VITRABLOK|Чехия|
33|3|Бесцветный||190x190x80||200|VITRABLOK|Чехия|
34|3|Бесцветный||190x190x80||200|VITRABLOK|Чехия|
35|3|Бесцветный||190x190x80||200|VITRABLOK|Чехия|
36|3|Бесцветный||190x190x80||200|VITRABLOK|Чехия|
37|3|Бесцветный||190x190x80||200|VITRABLOK|Чехия|
38|3|Бесцветный||190x190x80||200|VITRABLOK|Чехия|
39|3|Бесцветный||190x190x80||200|VITRABLOK|Чехия|
40|3|Бесцветный|матовый|190x190x80||200|VITRABLOK|Чехия|
41|3|Бесцветный|матовый|190x190x80||200|VITRABLOK|Чехия|
42|3|Бесцветный|матовый|190x190x80||200|VITRABLOK|Чехия|
43|3|Бесцветный|матовый|190x190x80||200|VITRABLOK|Чехия|
44|3|Бесцветный|матовый|190x190x80||200|VITRABLOK|Чехия|
45|3|Бесцветный|матовый|190x190x80||200|VITRABLOK|Чехия|
46|4|Голубой||190x190x80||210|VITRABLOK|Чехия|
47|4|Бронзовый||190x190x80||210|VITRABLOK|Чехия|
48|4|Зеленый||190x190x80||210|VITRABLOK|Чехия|
49|4|Графит||190x190x80||210|VITRABLOK|Чехия|
50|4|Розовый||190x190x80||210|VITRABLOK|Чехия|
51|4|Бирюзовый||190x190x80||210|VITRABLOK|Чехия|
52|4|Синий||190x190x80||210|VITRABLOK|Чехия|
53|4|Голубой|матовый|190x190x80||210|VITRABLOK|Чехия|
54|4|Бронзовый|матовый|190x190x80||210|VITRABLOK|Чехия|
55|4|Зеленый|матовый|190x190x80||210|VITRABLOK|Чехия|
56|4|Графит|матовый|190x190x80||210|VITRABLOK|Чехия|
57|4|Розовый|матовый|190x190x80||210|VITRABLOK|Чехия|
58|4|Бирюзовый|матовый|190x190x80||210|VITRABLOK|Чехия|
59|4|Синий|матовый|190x190x80||210|VITRABLOK|Чехия|
60|5|Бирюзовый||190x190x80||220|VITRABLOK|Чехия|
61|5|Бронзовый||190x190x80||220|VITRABLOK|Чехия|
62|5|Тархун||190x190x80||220|VITRABLOK|Чехия|
63|5|Черный||190x190x80||220|VITRABLOK|Чехия|
64|5|Розовый||190x190x80||220|VITRABLOK|Чехия|
65|5|Мор. волна||190x190x80||220|VITRABLOK|Чехия|
66|5|Желтый||190x190x80||220|VITRABLOK|Чехия|
67|5|Синий||190x190x80||220|VITRABLOK|Чехия|
68|5|Медовый||190x190x80||220|VITRABLOK|Чехия|
69|5|Малиновый||190x190x80||220|VITRABLOK|Чехия|
70|5|Оранжевый||190x190x80||220|VITRABLOK|Чехия|
71|5|Рубиновый||190x190x80||220|VITRABLOK|Чехия|
72|5|Изумрудный||190x190x80||220|VITRABLOK|Чехия|
73|5|Аметист||190x190x80||220|VITRABLOK|Чехия|
74|5|Коричневый||190x190x80||220|VITRABLOK|Чехия|
75|5|Молочный||190x190x80||220|VITRABLOK|Чехия|
76|5|Бирюзовый|матовый|190x190x80||220|VITRABLOK|Чехия|
77|5|Бронзовый|матовый|190x190x80||220|VITRABLOK|Чехия|
78|5|Тархун|матовый|190x190x80||220|VITRABLOK|Чехия|
79|5|Черный|матовый|190x190x80||220|VITRABLOK|Чехия|
80|5|Розовый|матовый|190x190x80||220|VITRABLOK|Чехия|
81|5|Мор. волна|матовый|190x190x80||220|VITRABLOK|Чехия|
82|5|Желтый|матовый|190x190x80||220|VITRABLOK|Чехия|
83|5|Синий|матовый|190x190x80||220|VITRABLOK|Чехия|
84|5|Медовый|матовый|190x190x80||220|VITRABLOK|Чехия|
85|5|Малиновый|матовый|190x190x80||220|VITRABLOK|Чехия|
86|5|Оранжевый|матовый|190x190x80||220|VITRABLOK|Чехия|
87|5|Рубиновый|матовый|190x190x80||220|VITRABLOK|Чехия|
88|5|Изумрудный|матовый|190x190x80||220|VITRABLOK|Чехия|
89|5|Аметист|матовый|190x190x80||220|VITRABLOK|Чехия|
90|5|Коричневый|матовый|190x190x80||220|VITRABLOK|Чехия|
91|5|Молочный|матовый|190x190x80||220|VITRABLOK|Чехия|
92|6|Бирюзовый||190x190x80||230|VITRABLOK|Чехия|
93|6|Бронзовый||190x190x80||230|VITRABLOK|Чехия|
94|6|Тархун||190x190x80||230|VITRABLOK|Чехия|
95|6|Черный||190x190x80||230|VITRABLOK|Чехия|
96|6|Розовый||190x190x80||230|VITRABLOK|Чехия|
97|6|Мор. волна||190x190x80||230|VITRABLOK|Чехия|
98|6|Желтый||190x190x80||230|VITRABLOK|Чехия|
99|6|Синий||190x190x80||230|VITRABLOK|Чехия|
100|6|Медовый||190x190x80||230|VITRABLOK|Чехия|
101|6|Малиновый||190x190x80||230|VITRABLOK|Чехия|
102|6|Оранжевый||190x190x80||230|VITRABLOK|Чехия|
103|6|Рубиновый||190x190x80||230|VITRABLOK|Чехия|
104|6|Изумрудный||190x190x80||230|VITRABLOK|Чехия|
105|6|Аметист||190x190x80||230|VITRABLOK|Чехия|
106|6|Коричневый||190x190x80||230|VITRABLOK|Чехия|
107|6|Молочный||190x190x80||230|VITRABLOK|Чехия|
108|7|Бирюзовый||190x190x80||240|VITRABLOK|Чехия|
109|7|Бронзовый||190x190x80||240|VITRABLOK|Чехия|
110|7|Тархун||190x190x80||240|VITRABLOK|Чехия|
111|7|Черный||190x190x80||240|VITRABLOK|Чехия|
112|7|Розовый||190x190x80||240|VITRABLOK|Чехия|
113|7|Мор. волна||190x190x80||240|VITRABLOK|Чехия|
114|7|Желтый||190x190x80||240|VITRABLOK|Чехия|
115|7|Синий||190x190x80||240|VITRABLOK|Чехия|
116|7|Медовый||190x190x80||240|VITRABLOK|Чехия|
117|7|Малиновый||190x190x80||240|VITRABLOK|Чехия|
118|7|Оранжевый||190x190x80||240|VITRABLOK|Чехия|
119|7|Рубиновый||190x190x80||240|VITRABLOK|Чехия|
120|7|Изумрудный||190x190x80||240|VITRABLOK|Чехия|
121|7|Аметист||190x190x80||240|VITRABLOK|Чехия|
122|7|Коричневый||190x190x80||240|VITRABLOK|Чехия|
123|7|Молочный||190x190x80||240|VITRABLOK|Чехия|
124|8|Бирюзовый||190x190x80||245|VITRABLOK|Чехия|
125|8|Бронзовый||190x190x80||245|VITRABLOK|Чехия|
126|8|Тархун||190x190x80||245|VITRABLOK|Чехия|
127|8|Черный||190x190x80||245|VITRABLOK|Чехия|
128|8|Розовый||190x190x80||245|VITRABLOK|Чехия|
129|8|Мор. волна||190x190x80||245|VITRABLOK|Чехия|
130|8|Желтый||190x190x80||245|VITRABLOK|Чехия|
131|8|Синий||190x190x80||245|VITRABLOK|Чехия|
132|8|Медовый||190x190x80||245|VITRABLOK|Чехия|
133|8|Малиновый||190x190x80||245|VITRABLOK|Чехия|
134|8|Оранжевый||190x190x80||245|VITRABLOK|Чехия|
135|8|Рубиновый||190x190x80||245|VITRABLOK|Чехия|
136|8|Изумрудный||190x190x80||245|VITRABLOK|Чехия|
137|8|Аметист||190x190x80||245|VITRABLOK|Чехия|
138|8|Коричневый||190x190x80||245|VITRABLOK|Чехия|
139|8|Молочный||190x190x80||245|VITRABLOK|Чехия|
140|9|Бирюзовый||190x190x80||255|VITRABLOK|Чехия|
141|9|Бронзовый||190x190x80||255|VITRABLOK|Чехия|
142|9|Тархун||190x190x80||255|VITRABLOK|Чехия|
143|9|Черный||190x190x80||255|VITRABLOK|Чехия|
144|9|Розовый||190x190x80||255|VITRABLOK|Чехия|
145|9|Мор. волна||190x190x80||255|VITRABLOK|Чехия|
146|9|Желтый||190x190x80||255|VITRABLOK|Чехия|
147|9|Синий||190x190x80||255|VITRABLOK|Чехия|
148|9|Медовый||190x190x80||255|VITRABLOK|Чехия|
149|9|Малиновый||190x190x80||255|VITRABLOK|Чехия|
150|9|Оранжевый||190x190x80||255|VITRABLOK|Чехия|
151|9|Рубиновый||190x190x80||255|VITRABLOK|Чехия|
152|9|Изумрудный||190x190x80||255|VITRABLOK|Чехия|
153|9|Аметист||190x190x80||255|VITRABLOK|Чехия|
154|9|Коричневый||190x190x80||255|VITRABLOK|Чехия|
155|9|Молочный||190x190x80||255|VITRABLOK|Чехия|
156|10|Бирюзовый||190x190x80||260|VITRABLOK|Чехия|
157|10|Бронзовый||190x190x80||260|VITRABLOK|Чехия|
158|10|Тархун||190x190x80||260|VITRABLOK|Чехия|
159|10|Черный||190x190x80||260|VITRABLOK|Чехия|
160|10|Розовый||190x190x80||260|VITRABLOK|Чехия|
161|10|Мор. волна||190x190x80||260|VITRABLOK|Чехия|
162|10|Желтый||190x190x80||260|VITRABLOK|Чехия|
