key|product_category_key|color|mat|size|filling|price|company|country|desc
1|1|Бесцветный||190x190x80|Морская звезда|2150|VITRABLOK|Чехия|
2|1|Бесцветный||190x190x80|Морская звезда|2150|VITRABLOK|Чехия|
3|1|Бесцветный||190x190x80|Морская звезда|2150|VITRABLOK|Чехия|
4|1|Синий||190x190x80|Морская звезда|2150|VITRABLOK|Чехия|
5|1|Зеленый||190x190x80|Морская звезда|2150|VITRABLOK|Чехия|
6|1|Бесцветный||190x190x80|Корабль|2150|VITRABLOK|Чехия|
7|1|Бесцветный||190x190x80|Корабль|2150|VITRABLOK|Чехия|
8|1|Синий||190x190x80|Корабль|2150|VITRABLOK|Чехия|
9|1|Зеленый||190x190x80|Корабль|2150|VITRABLOK|Чехия|
10|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
11|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
12|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
13|1|Бесцветный||190x190x80|Морская звезда|2150|VITRABLOK|Чехия|
14|1|Бесцветный||190x190x80|Раковина моллюска|2150|VITRABLOK|Чехия|
15|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
16|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
17|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
18|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
19|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
20|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
21|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
22|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
23|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
24|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
25|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
26|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
27|1|Бесцветный||190x190x80|Раковина моллюска|2150|VITRABLOK|Чехия|
28|1|Бесцветный||190x190x80|Раковина моллюска|2150|VITRABLOK|Чехия|
29|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
30|1|Синий||190x190x80|Раковина|2150|VITRABLOK|Чехия|
31|1|Синий||190x190x80|Раковина моллюска|2150|VITRABLOK|Чехия|
32|1|Синий||190x190x80|Раковина|2150|VITRABLOK|Чехия|
33|1|Зеленый||190x190x80|Раковина|2150|VITRABLOK|Чехия|
34|1|Зеленый||190x190x80|Раковина|2150|VITRABLOK|Чехия|
35|1|Бесцветный||190x190x80|Морская звезда|2150|VITRABLOK|Чехия|
36|1|Бесцветный||190x190x80|Морская звезда|2150|VITRABLOK|Чехия|
37|1|Бесцветный||190x190x80|Морская звезда|2150|VITRABLOK|Чехия|
38|1|Бесцветный||190x190x80|Морская звезда|2150|VITRABLOK|Чехия|
39|1|Бесцветный||190x190x80|Морская звезда|2150|VITRABLOK|Чехия|
40|1|Бесцветный||190x190x80|Морская звезда|2150|VITRABLOK|Чехия|
41|1|Бесцветный||190x190x80|Морская звезда|2150|VITRABLOK|Чехия|
42|1|Бесцветный||190x190x80|Морская звезда|2150|VITRABLOK|Чехия|
43|1|Бесцветный||190x190x80|Морская звезда|2150|VITRABLOK|Чехия|
44|1|Зеленый||190x190x80|Морская звезда|2150|VITRABLOK|Чехия|
45|1|Синий||190x190x80|Морская звезда|2150|VITRABLOK|Чехия|
46|1|Бесцветный||190x190x80|Звезда и раковина|2150|VITRABLOK|Чехия|
47|1|Бесцветный||190x190x80|Звезда и раковина|2150|VITRABLOK|Чехия|
48|1|Бесцветный||190x190x80|Звезда и раковина|2150|VITRABLOK|Чехия|
49|1|Бесцветный||190x190x80|Звезда и раковина|2150|VITRABLOK|Чехия|
50|1|Бесцветный||190x190x80|Звезда и раковина|2150|VITRABLOK|Чехия|
51|1|Синий||190x190x80|Звезда и раковина|2150|VITRABLOK|Чехия|
52|1|Зеленый||190x190x80|Звезда и раковина|2150|VITRABLOK|Чехия|
53|1|Бесцветный||190x190x80|Коралл|2150|VITRABLOK|Чехия|
54|1|Бесцветный||190x190x80|Рыбка|2150|VITRABLOK|Чехия|
55|1|Бесцветный||190x190x80|Рыбка|2150|VITRABLOK|Чехия|
56|1|Бесцветный||190x190x80|Рыбка|2150|VITRABLOK|Чехия|
57|1|Синий||190x190x80|Рыбка|2150|VITRABLOK|Чехия|
58|1|Зеленый||190x190x80|Рыбка|2150|VITRABLOK|Чехия|
59|1|Бесцветный||190x190x80|Рыбка|2150|VITRABLOK|Чехия|
60|1|Бесцветный||190x190x80|Рыбка|2150|VITRABLOK|Чехия|
61|1|Бесцветный||190x190x80|Рыбка|2150|VITRABLOK|Чехия|
62|1|Бесцветный||190x190x80|Рыбка|2150|VITRABLOK|Чехия|
63|1|Бесцветный||190x190x80|Рыбка|2150|VITRABLOK|Чехия|
64|1|Бесцветный||190x190x80|Рыбка|2150|VITRABLOK|Чехия|
65|1|Бесцветный||190x190x80|Рыбка|2150|VITRABLOK|Чехия|
66|1|Бесцветный||190x190x80|Рыбка|2150|VITRABLOK|Чехия|
67|1|Бесцветный||190x190x80|Рыбка|2150|VITRABLOK|Чехия|
68|1|Бесцв/бежевый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
69|1|Бесцв/бежевый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
70|1|Бесцв/серый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
71|1|Бесцв/серый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
72|1|Бесцв/голубой||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
73|1|Бесцв/голубой||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
74|1|Бесцв/голубой||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
75|1|Бесцв/голубой||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
76|1|Бесцв/голубой||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
77|1|Бесцв/серый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
78|1|Бесцв/розовый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
79|1|Бесцв/розовый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
80|1|Бесцв/розовый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
81|1|Бесцв/розовый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
82|1|Бесцв/розовый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
83|1|Бесцв/розовый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
84|1|Бесцв/розовый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
85|1|Бесцв/розовый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
86|1|Бесцв/розовый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
87|1|Бесцв/серый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
88|1|Бесцв/серый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
89|1|Бесцв/бежевый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
90|1|Бесцв/розовый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
91|1|Синий/бежевый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
92|1|Зеленый/бежевый||190x190x80|Коралловый риф|2150|VITRABLOK|Чехия|
93|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
94|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
95|1|Бесцветный||190x190x80|Раковина|2150|VITRABLOK|Чехия|
96|1|Синий||190x190x80|Раковина|2150|VITRABLOK|Чехия|
97|1|Зеленый||190x190x80|Раковина|2150|VITRABLOK|Чехия|
98|1|Бесцветный||190x190x80|Лягушка|2150|VITRABLOK|Чехия|
99|1|Бесцветный||190x190x80|Лягушка|2150|VITRABLOK|Чехия|
