key|product_category_key|color|mat|size|filling|price|company|country|desc
1||Черника, Blueberry||146x146x80||250|VITRABLOK|Чехия|
101||Черника, Blueberry||LINEAR END||250|VITRABLOK|Чехия|
102||Черника, Blueberry||CURVED END||250|VITRABLOK|Чехия|
103||Черника, Blueberry||CORNER||250|VITRABLOK|Чехия|
2||Мята, Mint||146x146x80||250|VITRABLOK|Чехия|
3||Лакричник , Licorice||146x146x80||250|VITRABLOK|Чехия|
4||Вишня, Cherry||146x146x80||250|VITRABLOK|Чехия|
5||Абрикос , Apricot||146x146x80||250|VITRABLOK|Чехия|
6||Ваниль, Vanilla||146x146x80||250|VITRABLOK|Чехия|
7||Арктика, Arctic||146x146x80||250|VITRABLOK|Чехия|
11||Ярко белый/красная полоса, Very natural white/colored band: red||146x146x80||250|VITRABLOK|Чехия|
12||Бронза/красная полоса, Bronze/colored band: red||146x146x80||250|VITRABLOK|Чехия|
13||Зеленый/красная полоса, Green/colored band: red||146x146x80||250|VITRABLOK|Чехия|
14||Нежно белый/ванильная полоса, Romantic white/colored band: vanilla||146x146x80||250|VITRABLOK|Чехия|
15||Нежно розовый/ванильная полоса, Romantic pink/colored band: vanilla||146x146x80||250|VITRABLOK|Чехия|
16||Нежно фиолетовый/ванильная полоса, Romantic violet/colored band: vanilla||146x146x80||250|VITRABLOK|Чехия|
17||Нежно рубиновый/ванильная полоса, Romantic ruby/colored band: vanilla||146x146x80||250|VITRABLOK|Чехия|
18||Салатовый/оранжевая полоса, Vegan green/colored band: orange||146x146x80||250|VITRABLOK|Чехия|
19||Растительный желтый/оранжевая полоса, Vegan yellow/colored band: orange||146x146x80||250|VITRABLOK|Чехия|
20||Растительный изумрудный/оранжевая полоса, Vegan emerald/colored band: orange||146x146x80||250|VITRABLOK|Чехия|
21||Изысканный голубой/голубая полоса, Sophisticated blue/colored band: blue||146x146x80||250|VITRABLOK|Чехия|
22||Изысканный фиолетовый/голубая полоса, Sophisticated violet/colored band: blue||146x146x80||250|VITRABLOK|Чехия|
23||Изысканный рубиновый/голубая полоса, Sophisticated ruby/colored band: blue||146x146x80||250|VITRABLOK|Чехия|
24||Футуристичный черный/металлическая полоса, Futuristic black 100%/colored band: metallised||146x146x80||250|VITRABLOK|Чехия|
25||Футуристичный черный 30%/металлическая полоса, Futuristic black 30%/colored band: metallised||146x146x80||250|VITRABLOK|Чехия|
26||Футуристичный голубой/металлическая полоса, Futuristic blue/colored band: metallised||146x146x80||250|VITRABLOK|Чехия|
27||Футуристичный белый/металлическая полоса, Futuristic white 100%/colored band: metallised||146x146x80||250|VITRABLOK|Чехия|
28||Безбашенный черный/черная полоса, Daredevil black 100%/colored band: black||146x146x80||200|VITRABLOK|Чехия|
29||Безбашенный желтый/черная полоса, Daredevil yellow/colored band: black||146x146x80||200|VITRABLOK|Чехия|
30||Безбашенный красный/черная полоса, Daredevil red/colored band: black||146x146x80||200|VITRABLOK|Чехия|
31||Безбашенный голубой/черная полоса, Daredevil blue/colored band: black||146x146x80||200|VITRABLOK|Чехия|
